ID,New_ID,FID - ArcMap,Name,Type,Project,O-D,Passenger,Rice,Fisheries,Fruits & Vegetables,Cũ,,,,,,,,,,,,,
0,0,0,HCM City,Original,,Y,"15, 14",,,,,"22(50;59;74), 58(21;35;40)",,,,,,,,,,,,
1,1,1,Cảng Long An,Inland Port,,,,,,,,,,,,,,,,,,,,
2,2,2,Cảng Nhơn Đức,Inland Port,,,,,,,,,,,,,,,,,,,,
3,3,3,Cửa Khẩu Mộc bài Tây Ninh,International Port,,,,,,,,,,,,,,,,,,,,
4,4,4,Cửa Khẩu Bình Hiệp,International Port,,,,,,,,,,,,,,,,,,,,
5,5,5,Cửa Khẩu Đinh Ba ,International Port,,,,,,,,,,,,,,,,,,,,
6,6,6,Cảng MỸ Thới Tiền Giang,Inland Port,Upgrade,,,0,,,,,,,,,,,,,,,,
7,7,7,Hub RachMieu,Logistic Hub,New,,,,,0,,,,,,,,,,,,,,
8,8,8,Cảng Hàm Luông,Inland Port,,,,,,0,,,,,,,,,,,,,,
9,9,9,Cảng Vĩnh Thái,Inland Port,,,,,,0,,,,,,,,,,,,,,
10,10,11,Hub cảng Cao Lãnh - Cảng Sa Đéc,Hub Inland Port - Inland Port,Upgrade,Y,,15,,0,"10, 11",,,,,,,,,,,,,
12,11,12,Hub Cao Lãnh - cảng Trần quốc toản,Logistic Hub,New,,,15,,0,"12, 57",,,,,,,,,,,,,
13,12,13,Cảng Vĩnh Xương - Tân Châu,International Port,Upgrade,Y,,0,15,,"13, 61",,22,,,,,,,,,,,
14,13,14,Cảng Hub Mỹ Thanh - An giang Mỹ thới ,Logistic Hub - Inland Port - Cold storage - Agricultureal ,Upgrade,Y,,0,,0,"14, 15, 16,17,18, 65",,,,,,,,,,,,,
19,14,15,Kho Cảng Cần thơ,Inland Port - Cold Storage / Agricultural Warehouse,Upgrade,Y,,0,,,"19, 20, 58",,,,,,,,,,,,,
21,15,16,Kho cảng Trung tâm vùng Cần thơ,Port - Logistic Hub/ cold storage / Agricultural ,New,,,,,,"21, 22, 23, 56",,,,,,,,,,,,,
24,16,17,Cảng Đại Ngải,Inland Port,New,,,0,,,,,,,,,,,,,,,,
25,17,18,Cảng Định An,Inland Port,New,,,,,0,,,,,,,,,,,,,,
26,18,19,Hub Sóc trăng - Cảng Trần Đề,Logistic Hub,New,,,,,11,"26, 54",,,,,,,,,,,,,
27,19,20,Cửa Khẩu Tinh Biên - Kho cửa khẩu An giang,International Port - Cold Storage Warehouse,New,Y,,0,15,,"27, 28",,0 (17.92;21.14;31.71),,,,,,,,,,,
29,20,21,Cửa khẩu Giang Thanh,International Port,,,,,15,,,,,,,,,,,,,,,
30,21,22,Cửa Khẩu Hà Tiên - Hub Hà Tiên,International Port - Logistic Hub,New,Y,"0, 30",,"0, 30, 15",,"30, 31","0(),  45()",,,,,,,,,,,,
32,22,23,Cảng Hòn Chông,Inland Port,New,,,,,,,,,,,,,,,,,,,
33,23,24,Hub Linh Huynh,Logistic Hub,New,,,,,,,,,,,,,,,,,,,
34,24,25,Hub Vam Rang,Logistic Hub,New,,,,,0,,,,,,,,,,,,,,
35,25,26,Kho Cảng Rạch Giá Kiên giang,Inland Port Warehouse - Hub,New,Y,"0, 30",,0,,"35, 36, 37, 38, 39","0(),  45()",,,,,,,,,,,,
40,26,27,Kho lạnh Rạch giá - Hub Cảng Tắc cậu,Cold Storage Warehouse/ Logistic Hub - Port,New,,,,,,"40, 66",,,,,,,,,,,,,
42,27,28,Hub Vĩ Thanh,Logistic Hub,New,,,0,,,,,,,,,,,,,,,,
43,28,29,Cảng Hộ Phòng,Inland Port,New,,,,,,,,,,,,,,,,,,,
44,29,30,Cảng Giành Hào,Inland Port,New,,,,0,,,,,,,,,,,,,,,
45,30,33,Hub Cà Mau,Logistic Hub / Cold Storage Warehouse,New,,,,0,,"45, 46",,,,,,,,,,,,,
47,31,32,Cảng Hòn Khoai - Kho nông nghiệp Cà Mau - Cảng Cà Mau,Inland Port - Agricultural Warehouse,,,,,0,,"47, 63",,,,,,,,,,,,,
48,32,31,Cảng Ông Đốc,Inland Port,New,,,,0,,,,,,,,,,,,,,,
49,33,34,Hub Năm căn,Cold Storage Warehouse,New,,,,,,,,,,,,,,,,,,,
50,34,35,Cảng Phú Quốc,Inland Port,New,,,,,,,,,,,,,,,,,,,
51,35,36,Cảng vịnh Đầm,Inland Port,New,,,,,,,,,,,,,,,,,,,
53,36,37,Cảng Duyên hải,Inland Port,,,,,,,,,,,,,,,,,,,,
55,37,38,Cảng Bình Minh,Inland Port,,,,,,0,,,,,,,,,,,,,,
59,38,39,Cảng Bình Long,Inland Port,,,,,,,,,,,,,,,,,,,,
60,39,40,Cảng Hồng Ngự,Inland Port,,,,,,,,,,,,,,,,,,,,
62,40,41,Cảng Bình Trị,Inland Port,,,,,,0,,,,,,,,,,,,,,
64,41,42,Cảng Thổ Chu,Inland Port,New,,,,,,,,,,,,,,,,,,,
63,42,43,Cảng hòn khoai,Inland Port,,,,,,,,,,,,,,,,,,,,
49,49,73,,,,,,,,,,,,,,,,,,,,,,
50,50,75,,,,,,,,,,,,,,,,,,,,,,
51,51,45,,,,,,,,,,,,,,,,,,,,,,
52,52,44,,,,,,,,,,,,,,,,,,,,,,
67,67,46,,,,,,,,,,,,,,,,,,,,,,
68,68,47,,,,,,,,,,,,,,,,,,,,,,
69,69,49,,,,,,,,,,,,,,,,,,,,,,
71,71,50,,,,,,,,,,,,,,,,,,,,,,
72,72,10,,,,,,,,,,,,,,,,,,,,,,
